product_id,net_sales_amount,net_sales_price,gross_sales_amount,gross_sales_price,average_sales_amount_of_last_5_selling_days,top_selling_location
137874317696824139e01ffddf840a3b,1,44.5,1,44.5,1.0,Aksaray
137b22a0d3dd799d3ec9dd6248578cbd,1,46.5,1,46.5,1.0,Giresun
1383d4654d65d1b292a66134d0fbd3b8,1,16.2,1,16.2,1.0,Ankara
138474c841b1f0fe14cee59af1e32d09,1,29.99,1,29.99,1.0,Antalya
1384ae136a4c3a7083cb59f3aee9969c,1,99.98,1,99.98,1.0,Antalya
1386f92372bd4e61820cb269110c301a,1,25.99,1,25.99,1.0,İstanbul
138805b7c3d5ef39238162ff89b7a7bc,1,49.0,1,49.0,1.0,Muş
1388164b98c080b0e2f761baa5a2c16d,1,19.95,1,19.95,1.0,Muş
138932a10d10c2fb7de7311c3c1fb9,2,87.8,2,87.8,2.0,İzmir
13896b4e1990804cc7501b0a7cd7e9de,1,50.4,1,50.4,1.0,İzmir
138aece3ddedba8a36129b570f06a697,1,119.9,1,119.9,1.0,İstanbul
138fd6b3469ffabd874c08f2cc474f22,1,79.99,1,79.99,1.0,Muş
1395dbcc74fa27bafec5e8dabbbc0631,1,489.0,1,489.0,1.0,Aksaray
1397c37baecafab0c6fc06d0169f4e0a,2,131.9,2,131.9,1.0,Ankara
13998bb0ee222ff6e61b2ad1fc749944,1,49.9,1,49.9,1.0,Antalya
139b94ce57db42da138d47886452199a,1,7.0,1,7.0,1.0,Ankara
139d023e1fbb99668763be63018d0e66,6,175.62,6,175.62,2.0,Aksaray
139d03f8e8607b7350da710293342f09,1,1619.0,1,1619.0,1.0,İstanbul
139d3490ef97888844d31b7bff0cbe55,1,37.0,1,37.0,1.0,Antalya
139fc4a20c6bf1a9eb8ebf2b7cc92184,1,184.98,1,184.98,1.0,İstanbul
13a2e6aec235e7d72e9644622281849c,1,43.9,1,43.9,1.0,Muğla
13a4502798c483d08fb7183a3ba43d8d,1,599.0,1,599.0,1.0,Muş
13a4b333e44aa6af62f9607109f86825,6,42.0,6,42.0,6.0,Bayburt
13a66053cd7551af9111dab92c1fcb4b,1,46.99,1,46.99,1.0,İstanbul
13a8a55e8bf3cbecf5b24f387d0673da,2,24.439999999999998,2,24.439999999999998,2.0,Ankara
13affe655e8181b676a9adafafff7cf,1,45.9,1,45.9,1.0,İstanbul
13b2ea68e897534072cd8c46bd1490e9,1,139.0,1,139.0,1.0,Bayburt
13b73d29aadb32bdc649c79700e76841,1,5.99,1,5.99,1.0,İstanbul
13b7d54b7e2b0aa3e72c7b8d5cec68bd,1,95.0,1,95.0,1.0,İstanbul
13b9e588d57433db7c30c59e858fe7a2,1,86.0,1,86.0,1.0,İstanbul
13bb19ca9dbd6e33483561761f7d0afe,1,14.9,1,14.9,1.0,Giresun
13c0e5608b69ef15d088257c8154ab7e,1,41.8,1,41.8,1.0,Giresun
